1,0.69508,0.86937,1.1716,3.1818,2.584,0.59669,0.23203,209.5,1135
2,0.19997,0.27493,0.97842,1.5508,3.7905,0.73075,1.0848,230.81,1834
3,0.46171,0.92391,0.89451,1.733,2.4343,0.64833,0.64639,186.71,1895
4,0.067857,0.22706,2.0473,2.2842,1.7979,0.85158,0.35101,265.47,1946
5,0.10416,0.048219,2.4069,2.178,1.1396,0.14565,0.37472,251.49,1984
6,0.51462,0.97854,3.0003,2.0761,1.8119,0.98119,0.24344,232.42,1300
7,0.011605,0.0086176,2.1364,2.6445,1.1482,0.84908,-0.57938,256.87,1484
8,0.04072,0.038729,1.3564,2.9525,1.1081,0.10199,0.12446,269.16,1805
9,0.94217,0.9595,3.3712,0.95857,3.2852,0.10906,2.0156,138.38,1988
10,0.32809,0.61288,2.1144,1.4701,2.4837,0.44561,0.0032281,249.41,597
11,0.61608,0.63914,4.6479,2.3325,2.3087,0.97157,0.56455,198.06,598
12,0.054886,0.035284,2.5391,2.1026,1.2583,0.36838,1.2362,185.32,1059
13,0.67251,0.45451,1.6067,3.9816,1.1441,0.83089,0.42476,210.63,1233
14,0.29218,0.42687,1.0077,2.0503,3.8518,0.010723,0.6584,237.57,1237
15,0.98357,0.98085,5.3545,1.2218,3.7759,0.73523,0.60229,158.48,1287
16,0.2664,0.80085,1.7846,3.4313,3.2553,0.97204,1.3974,202.54,1330
17,0.08754,0.1055,1.147,1.4953,3.8786,0.10393,-0.71624,243.57,1375
18,0.95547,0.3229,3.7618,1.0829,2.1717,0.62616,1.8575,142.59,1505
19,0.77533,0.83553,1.9353,1.3902,2.1773,0.49315,1.5181,189.48,1537
20,0.32667,0.96312,1.518,1.8242,1.8153,0.90252,0.9408,242.09,1559
21,0.87356,0.23151,4.105,0.96823,2.3209,0.52399,2.5905,124.8,1681
22,0.54689,0.86831,1.0915,2.4907,3.4252,0.96893,1.1647,185.75,1726
23,0.76352,0.54311,1.1212,5.5138,1.9986,0.98468,-0.087826,180.87,1756
24,0.49553,0.78362,0.88949,1.5998,2.9387,0.087175,0.77649,232.73,830
25,0.018004,0.0049237,1.5121,1.2519,3.8659,0.073544,0.3496,251.79,889
26,0.14389,0.84368,2.2339,1.8166,1.6574,0.69836,0.68609,256.95,890
27,0.46481,0.96793,1.305,1.3063,1.5242,0.79888,0.86071,237.56,950
28,0.60105,0.39791,2.3693,1.8081,2.2391,0.63226,0.5581,213.69,951
29,0.76056,0.15637,3.914,1.2595,2.5823,0.86326,1.6151,105.23,1042
30,0.17141,0.78542,1.6466,1.6413,3.1158,0.80851,0.38822,257.75,1043
