1,0.86492,0.98314,2.3951,2.2048,0.70747,0.18242,207.98,1135
2,0.26947,0.78305,1.3705,3.2814,0.71457,1.0819,227.75,1834
3,0.59943,0.74882,1.7217,2.0681,0.68668,0.60763,184.65,1895
4,0.13117,1.8815,1.8706,1.0859,0.50193,0.34328,265.72,1946
5,0.063876,2.739,3.581,2.1794,0.11078,0.44403,251.87,1984
6,0.85922,2.3164,1.3838,1.1409,0.93255,0.26811,232.58,1300
7,0.013405,2.0998,3.4322,1.2301,0.92264,-0.55722,257.05,1484
8,0.0091492,1.6947,2.7175,2.147,0.84039,0.18126,270.21,1805
9,0.95642,3.184,1.0953,3.2544,0.28189,1.9828,137.62,1988
10,0.45535,1.6723,1.0663,1.7498,0.43893,0.0014087,251.27,597
11,0.78985,3.7273,1.9487,1.9198,0.98825,0.56,197.62,598
12,0.081481,2.5863,5.6691,1.5152,0.024195,1.2247,185.43,1059
13,0.76268,1.2073,3.9338,1.0461,0.86055,0.35102,207.58,1233
14,0.4431,0.70991,1.068,2.6967,0.014853,0.66805,237.15,1237
15,0.9781,5.5225,1.7209,3.7751,0.62903,0.54219,155.53,1287
16,0.4721,1.1221,2.1185,1.8849,0.98409,1.3798,202.04,1330
17,0.095526,1.053,1.4041,4.3466,0.1832,-0.71515,241.83,1375
18,0.54778,6.9607,2.5304,3.5709,0.27939,1.7549,138.87,1505
19,0.86931,1.7199,0.98785,1.9701,0.77319,1.5336,189.89,1537
20,0.55065,1.1454,1.6889,0.95255,0.72659,0.89151,242.39,1559
21,0.49283,5.5316,1.8459,4.4315,0.56045,2.5303,120.95,1681
22,0.65525,1.0584,2.3229,2.823,0.97949,1.1545,183.9,1726
23,0.98473,0.95525,5.0958,1.6102,0.99394,-0.073644,181.61,1756
24,0.72644,0.70048,0.75862,2.0713,0.11235,0.79626,234.47,830
25,0.015995,1.9144,1.7207,5.346,0.30942,0.35146,253.47,889
26,0.011991,2.1546,2.1669,1.8055,0.68595,0.70365,258.21,890
27,0.88199,0.84492,0.63217,0.94971,0.96504,0.86766,238.5,950
28,0.54964,2.7614,1.8197,2.6022,0.6064,0.57912,213.59,951
29,0.34653,5.2049,3.6913,6.1639,0.56882,1.5051,99.026,1042
30,0.80287,0.78082,0.98491,1.0583,0.33355,0.34459,260.19,1043
31,0.039161,1.9036,1.7189,4.1393,0.26293,0.12884,257.65,1236
32,0.66521,4.7527,3.5695,4.5159,0.46387,1.4427,137.99,1390
33,0.57971,5.8524,3.2966,4.2341,0.53402,1.06,132.15,1409
34,0.51107,1.0837,1.7026,2.7987,0.42809,0.47819,227.6,1418
35,0.019809,2.0105,3.2581,2.1285,0.8925,1.2271,217.9,1425
36,0.013255,1.8954,1.8891,2.7115,0.19768,0.16789,265.13,1463
37,0.85373,1.4181,0.7638,1.0943,0.55191,0.47299,244.25,1542
38,0.029762,1.8195,2.5051,2.0063,0.045095,-0.40161,263,1543
39,0.00075347,1.9699,1.9952,1.9357,0.48649,-0.5472,265.6,1578
40,0.33759,1.6059,1.1705,2.01,0.95159,1.0023,210.1,1587
41,0.035161,1.8528,2.291,2.1876,0.80587,0.63989,233.27,1591
42,0.0040776,1.9103,1.9136,2.0758,0.22892,0.58848,252.31,1592
43,0.93848,1.1656,0.46813,1.4694,0.87453,0.22632,247.81,1593
44,0.32176,2.6227,3.1469,5.1169,0.44252,1.1717,159.41,1595
45,0.021088,2.098,2.0219,1.7178,0.67066,0.33129,261.92,1611
46,0.059487,1.9839,3.3824,1.053,0.046604,0.40695,264.53,1631
47,0.050792,1.5478,1.535,1.6356,0.27679,-0.40213,264.17,1688
48,0.0021669,1.9945,1.956,1.9427,0.36736,-0.043511,265.42,1701
49,0.0043562,2.0143,1.9215,1.9528,0.26292,-0.05429,266.62,1705
50,0.56141,0.78939,0.65819,1.7522,0.91485,0.67036,252.89,1708
