beta,eta,phi,lambda,pi,rho,w_low,w_high
2.40406651513564,0.0409417868950636,0.0852911990258341,0.365710372474919,0.0383461675234012,-0.0143656327415863,0.00317290363971468,5.10868979841564e-07
3.0298432391424,0.163798493608758,0.30888955393439,0.799967263122008,0.15300623570848,0.052452522484986,0.545732938548274,0.205603504362596
3.84443010251318,0.452451773653028,0.699807427436105,0.999999390365297,0.306727887602103,0.139606323607868,0.96459375875031,0.778015543659411
