beta,alpha,lambda,w_low,w_high,pi,rho
8.43554958739337,0.148600580058403,0.327116995885913,9.05124515320004e-08,1.0516719177622e-07,0.269292008952858,-0.0440197822136877
3.34822992575458,0.951512139305922,0.999999926259665,0.771692538902046,0.999999967588325,0.425081273057146,-0.0022449622704336
4.30128737713649,0.458981512255944,0.546383343832178,0.99999995041868,0.603969912868312,0.316075763004554,0.0706295053382805
3.36182219828335,1.6179169528834e-10,0.560159638113109,0.427480383545786,0.575697943562134,0.0582786535190541,-0.0321347023583649
7.11213980994056,0.29160153383176,0.999999917289626,4.00388379115997e-07,9.41684463937369e-08,0.378847224098509,-0.111727178744938
3.36191907582383,6.08183723687165e-11,0.536972990878334,0.427319219071489,0.498145988744415,-0.032800723947663,0.0563801420394166
5.17675495446236,0.469459995694751,0.550078294792868,1.11872041863991e-07,4.55920245478206e-08,0.502796164687636,-0.0793410697873462
0.858133818167439,0.653866244678737,0.241352561676504,0.0661792560469907,0.257621068667963,0.354643300783533,0.818020851406224
3.20301554010597,0.118078427037836,0.220862399064139,0.999999121249555,0.999997542164399,0.340292869561011,0.252846428345252
2.89607649719144,0.290526026729607,1.83397220744935e-07,0.449182214206381,4.43853555053886e-08,0.885395230908893,-0.122135969844107
3.68522393760853,0.0325743050389409,1.69422646557506e-08,0.999999738223222,1.08812947790293e-07,-0.000854709646547962,-0.00667371866442624
3.3779858337954,1.22154352255856e-10,0.583308282391348,0.47230880334929,0.517631029919478,0.0368547699552255,0.292594854164761
0.970057969742938,0.449523335372113,0.842746364142434,0.765099346383486,0.1597511881221,0.614760647502981,0.846981445272506
2.21934995983619,0.350998041998918,0.276507662025167,2.66348979865733e-08,3.53274197610888e-08,0.197151184414684,0.0464814112241563
3.47128161990056,0.020972014821156,0.999968897195023,2.30043656934054e-06,0.811212030732751,0.11373490447234,-0.0861977671769907
3.00059303411597,0.755746595004053,0.999999953489656,0.8820462253803,0.66886058457651,0.505822807941301,0.0494103116884487
2.4743486532128,0.265674721284347,0.999999971554236,0.475854186835749,2.94428861031121e-08,0.234176286149031,-0.00724925885043244
0.754935551651437,0.765291304332451,0.999999983388042,0.999999972664683,1.17888023291305e-07,0.762938347235578,-0.0436021878477804
10.4870968847504,0.204450656261969,0.999999976042785,0.987104071196017,0.440704657006779,0.106570947457506,-0.0258560735183015
8.61084914717463,0.0516974915911858,0.999999997358001,4.04889020751052e-09,6.87140172004807e-09,0.117117886538922,0.0783925965471945
3.12220169045407,0.0986189714639226,0.191193495232255,9.67871032979757e-08,1.05865603839986e-07,0.354700510755333,0.0619427501535477
