ID,trial,trial_type,reported_q,true_q,working_phone
1,0,initialization,0.5,0.5,1
1,1,preattentioncheck,0.81,0.627160502,
1,2,attentioncheck,,,1
1,3,trial,0.76,0.48454605,1
1,4,trial,0.75,0.479894429,0
1,5,trial,0.58,0.392405797,0
1,6,trial,0.52,0.204307008,0
1,7,trial,0.46,0.154446777,0
1,8,trial,0.46,0.220703158,0
1,9,trial,0.42,0.148986053,0
1,10,trial,0.37,0.093008517,0
1,11,trial,0.35,0,0
1,12,trial,0.29,0,0
1,13,trial,0.28,0,0
1,14,trial,0.25,0,0
1,15,trial,0.24,0,0
1,16,trial,0.23,0,0
1,17,trial,0.2,0.075666404,0
1,18,trial,0.2,0.173501709,0
1,19,trial,0.2,0.161454466,0
1,20,trial,0.19,0.3067322,1
1,21,preattentioncheck,0.22,0.230961188,
1,22,attentioncheck,,,1
1,23,trial,0.25,0.462739761,1
1,24,trial,0.26,0.551067176,0
1,25,trial,0.25,0.398838868,1
1,26,trial,0.29,0.306788583,1
1,27,trial,0.35,0.258829765,1
1,28,trial,0.31,0.301495622,0
1,29,trial,0.29,0.182056042,0
1,30,trial,0.23,0.147996065,0
1,31,trial,0.23,0.281320537,0
1,32,trial,0.24,0.325440792,1
1,33,trial,0.3,0.502455166,1
1,34,trial,0.33,0.525645433,1
1,35,trial,0.3,0.449183623,1
1,36,trial,0.29,0.540875978,0
1,37,trial,0.24,0.550025237,1
1,38,trial,0.34,0.364685294,1
1,39,trial,0.35,0.379505462,0
1,40,trial,0.29,0.221380227,0
1,41,preattentioncheck,0.28,0.291968944,
1,42,attentioncheck,,,1
1,43,trial,0.33,0.413252055,0
1,44,trial,0.29,0.440233802,0
1,45,trial,0.28,0.528832656,1
1,46,trial,0.33,0.551727677,1
1,47,trial,0.34,0.749755704,1
1,48,trial,0.37,0.746532472,1
1,49,trial,0.34,0.934579987,1
1,50,trial,0.37,0.891104959,1
1,51,trial,0.37,0.905261196,1
1,52,trial,0.34,1,1
1,53,trial,0.38,1,1
1,54,trial,0.46,0.931748041,1
1,55,trial,0.5,0.972852721,1
1,56,trial,0.56,0.844859533,1
1,57,trial,0.57,0.858418918,1
1,58,trial,0.61,0.933517655,1
1,59,trial,0.62,0.934473422,1
1,60,trial,0.69,1,1
1,61,preattentioncheck,0.7,1,
1,62,attentioncheck,,,1
1,63,trial,0.71,1,1
1,64,trial,0.75,1,1
1,65,trial,0.78,0.906228021,1
1,66,trial,0.86,1,1
1,67,trial,0.84,0.994823168,1
1,68,trial,0.88,0.923538851,1
1,69,trial,0.87,0.894682992,1
1,70,trial,0.85,0.925206153,1
1,71,trial,0.86,0.916489802,1
1,72,trial,0.88,0.917989992,1
1,73,trial,0.9,0.949712022,1
1,74,trial,0.91,0.974237433,1
1,75,trial,0.91,0.945483989,1
